angle,g1,g2,g3,g4,description
Right,1,2,7,13,The Right Angle Cross of the Sphinx 4
Juxtaposition,1,2,4,49,The Juxtaposition Cross of Self-Expression
Left,1,2,4,49,The Left Angle Cross of Defiance 2
Right,2,1,13,7,The Right Angle Cross of the Sphinx 2
Juxtaposition,2,1,49,4,The Juxtaposition Cross of the Driver
Left,2,1,49,4,The Left Angle Cross of Defiance
Right,3,50,60,56,The Right Angle Cross of Laws
Juxtaposition,3,50,41,31,The Juxtaposition Cross of Mutation
Left,3,50,41,31,The Left Angle Cross of Wishes
Right,4,49,23,43,The Right Angle Cross of Explanation 3
Juxtaposition,4,49,8,14,The Juxtaposition Cross of Formulization
Left,4,49,8,14,The Left Angle Cross of Revolution 2
Right,5,35,64,63,The Right Angle Cross of Consciousness 4
Juxtaposition,5,35,47,22,The Juxtaposition Cross of Habits
Left,5,35,47,22,The Left Angle Cross of Separation 2
Right,6,36,12,11,The Right Angle Cross of Eden 3
Juxtaposition,6,36,15,10,The Juxtaposition Cross of Conflict
Left,6,36,15,10,The Left Angle Cross of the Plane 2
Right,7,13,2,1,The Right Angle Cross of the Sphinx 3
Juxtaposition,7,13,23,43,The Juxtaposition Cross of Interaction
Left,7,13,23,43,The Left Angle Cross of Masks 2
Right,8,14,30,29,The Right Angle Cross of Contagion 2
Juxtaposition,8,14,55,59,The Juxtaposition Cross of Contribution
Left,8,14,55,59,The Left Angle Cross of Uncertainty
Right,9,16,40,37,The Right Angle Cross of Planning 4
Juxtaposition,9,16,64,63,The Juxtaposition Cross of Focus
Left,9,16,64,63,The Left Angle Cross of Identification 2
Right,10,15,46,25,The Right Angle Cross of Vessel of Love 4
Juxtaposition,10,15,18,17,The Juxtaposition Cross of Behavior
Left,10,15,18,17,The Left Angle Cross of Prevention 2
Right,11,12,6,36,The Right Angle Cross of Eden 4
Juxtaposition,11,12,46,25,The Juxtaposition Cross of Ideas
Left,11,12,46,25,The Left Angle Cross of Education 2
Right,12,11,36,6,The Right Angle Cross of Eden 2
Juxtaposition,12,11,25,46,The Juxtaposition Cross of Articulation
Left,12,11,25,46,The Left Angle Cross of Education
Right,13,7,1,2,The Right Angle Cross of the Sphinx
Juxtaposition,13,7,43,23,The Juxtaposition Cross of Listening
Left,13,7,43,23,The Left Angle Cross of Masks
Right,14,8,29,30,The Right Angle Cross of Contagion 4
Juxtaposition,14,8,59,55,The Juxtaposition Cross of Empowering
Left,14,8,59,55,The Left Angle Cross of Uncertainty 2
Right,15,10,25,46,The Right Angle Cross of the Vessel of Love 2
Juxtaposition,15,10,17,18,The Juxtaposition Cross of Extremes
Left,15,10,17,18,The Left Angle Cross of Prevention
Right,16,9,37,40,The Right Angle Cross of Planning 2
Juxtaposition,16,9,63,64,The Juxtaposition Cross of Experimentation
Left,16,9,63,64,The Left Angle Cross of Identification
Right,17,18,58,52,The Right Angle Cross of Service
Juxtaposition,17,18,38,39,The Juxtaposition Cross of Opinions
Left,17,18,38,39,The Left Angle Cross of Upheaval
Right,18,17,52,58,The Right Angle Cross of Service 3
Juxtaposition,18,17,39,38,The Juxtaposition Cross of Correction
Left,18,17,39,38,The Left Angle Cross of Upheaval 2
Right,19,33,44,24,The Right Angle Cross of the Four Ways 4
Juxtaposition,19,33,1,2,The Juxtaposition Cross of Need
Left,19,33,1,2,The Left Angle Cross of Refinement 2
Right,20,34,55,59,The Right Angle Cross of the Sleeping Phoenix 2
Juxtaposition,20,34,37,40,The Juxtaposition Cross of the Now
Left,20,34,37,40,The Left Angle Cross of Duality
Right,21,48,38,39,The Right Angle Cross of Tension
Juxtaposition,21,48,54,53,The Juxtaposition Cross of Control
Left,21,48,54,53,The Left Angle Cross of Endeavour
Right,22,47,26,45,The Right Angle Cross of Rulership
Juxtaposition,22,47,11,12,The Juxtaposition Cross of Grace
Left,22,47,11,12,The Left Angle Cross of Informing
Right,23,43,49,4,The Right Angle Cross of Explanation 2
Juxtaposition,23,43,30,29,The Juxtaposition Cross of Assimilation
Left,23,43,30,29,The Left Angle Cross of Dedication
Right,24,44,19,33,The Right Angle Cross of the Four Ways
Juxtaposition,24,44,13,7,The Juxtaposition Cross of Rationalization
Left,24,44,13,7,The Left Angle Cross of Incarnation
Right,25,46,10,15,The Right Angle Cross of the Vessel of Love
Juxtaposition,25,46,58,52,The Juxtaposition Cross of Innocence
Left,25,46,58,52,The Left Angle Cross of Healing
Right,26,45,47,22,The Right Angle Cross of Rulership 4
Juxtaposition,26,45,6,36,The Juxtaposition Cross of the Trickster
Left,26,45,6,36,The Left Angle Cross of Confrontation 2
Right,27,28,41,31,The Right Angle Cross of the Unexpected
Juxtaposition,27,28,19,33,The Juxtaposition Cross of Caring
Left,27,28,19,33,The Left Angle Cross of Alignment
Right,28,27,31,41,The Right Angle Cross of the Unexpected 3
Juxtaposition,28,27,33,19,The Juxtaposition Cross of Risks
Left,28,27,33,19,The Left Angle Cross of Alignment 2
Right,29,30,8,14,The Right Angle Cross of Contagion 3
Juxtaposition,29,30,20,34,The Juxtaposition Cross of Commitment
Left,29,30,20,34,The Left Angle Cross of Industry 2
Right,30,29,14,8,The Right Angle Cross of Contagion
Juxtaposition,30,29,34,20,The Juxtaposition Cross of Fates
Left,30,29,34,20,The Left Angle Cross of Industry
Right,31,41,27,28,The Right Angle Cross of the Unexpected 2
Juxtaposition,31,41,24,44,The Juxtaposition Cross of Influence
Left,31,41,24,44,The Left Angle Cross of the Alpha
Right,32,42,62,61,The Right Angle Cross of Maya 3
Juxtaposition,32,42,56,60,The Juxtaposition Cross of Conservation
Left,32,42,56,60,The Left Angle Cross of Limitation 2
Right,33,19,24,44,The Right Angle Cross of the Four Ways 2
Juxtaposition,33,19,2,1,The Juxtaposition Cross of Retreat
Left,33,19,2,1,The Left Angle Cross of Refinement
Right,34,20,59,55,The Right Angle Cross of the Sleeping Phoenix 4
Juxtaposition,34,20,40,37,The Juxtaposition Cross of Power
Left,34,20,40,37,The Left Angle Cross of Duality 2
Right,35,5,63,64,The Right Angle Cross of Consciousness 2
Juxtaposition,35,5,22,47,The Juxtaposition Cross of Experience
Left,35,5,22,47,The Left Angle Cross of Separation
Right,36,6,11,12,The Right Angle Cross of the Eden
Juxtaposition,36,6,10,15,The Juxtaposition Cross of Crisis
Left,36,6,10,15,The Left Angle Cross of the Plane
Right,37,40,9,16,The Right Angle Cross of Planning
Juxtaposition,37,40,5,35,The Juxtaposition Cross of Bargains
Left,37,40,5,35,The Left Angle Cross of Migration
Right,38,39,48,21,The Right Angle Cross of Tension 4
Juxtaposition,38,39,57,51,The Juxtaposition Cross of Opposition
Left,38,39,57,51,The Left Angle Cross of Individualism 2
Right,39,38,21,48,The Right Angle Cross of Tension 2
